종목코드,종목명,산업,섹터,날짜
011040,경동제약,건강관리,제약과생물공학,20220408
086890,이수앱지스,건강관리,제약과생물공학,20220408
271980,제일약품,건강관리,제약과생물공학,20220408
168330,내츄럴엔도텍,건강관리,제약과생물공학,20220408
096760,JW홀딩스,건강관리,제약과생물공학,20220408
066700,테라젠이텍스,건강관리,제약과생물공학,20220408
203400,에이비온,건강관리,제약과생물공학,20220408
004720,팜젠사이언스,건강관리,제약과생물공학,20220408
208340,파멥신,건강관리,제약과생물공학,20220408
039860,나노엔텍,건강관리,제약과생물공학,20220408
288330,브릿지바이오테라퓨틱스,건강관리,제약과생물공학,20220408
061250,화일약품,건강관리,제약과생물공학,20220408
261780,차백신연구소,건강관리,제약과생물공학,20220408
234080,JW생명과학,건강관리,제약과생물공학,20220408
074430,아미노로직스,건강관리,제약과생물공학,20220408
032300,한국파마,건강관리,제약과생물공학,20220408
293480,하나제약,건강관리,제약과생물공학,20220408
278650,노터스,건강관리,제약과생물공학,20220408
063160,종근당바이오,건강관리,제약과생물공학,20220408
006620,동구바이오제약,건강관리,제약과생물공학,20220408
200670,휴메딕스,건강관리,제약과생물공학,20220408
298060,에스씨엠생명과학,건강관리,제약과생물공학,20220408
217730,강스템바이오텍,건강관리,제약과생물공학,20220408
023910,대한약품,건강관리,제약과생물공학,20220408
067080,대화제약,건강관리,제약과생물공학,20220408
109820,진매트릭스,건강관리,제약과생물공학,20220408
086820,바이오솔루션,건강관리,제약과생물공학,20220408
352770,클리노믹스,건강관리,제약과생물공학,20220408
000230,일동홀딩스,건강관리,제약과생물공학,20220408
046210,파나진,건강관리,제약과생물공학,20220408
118000,우리들휴브레인,건강관리,제약과생물공학,20220408
017180,명문제약,건강관리,제약과생물공학,20220408
321550,티움바이오,건강관리,제약과생물공학,20220408
054670,대한뉴팜,건강관리,제약과생물공학,20220408
004310,현대약품,건강관리,제약과생물공학,20220408
086040,바이오톡스텍,건강관리,제약과생물공학,20220408
354200,엔젠바이오,건강관리,제약과생물공학,20220408
068330,일신바이오,건강관리,제약과생물공학,20220408
187420,제노포커스,건강관리,제약과생물공학,20220408
038070,서린바이오,건강관리,제약과생물공학,20220408
317690,퀀타매트릭스,건강관리,제약과생물공학,20220408
072020,중앙백신,건강관리,제약과생물공학,20220408
359090,씨엔알리서치,건강관리,제약과생물공학,20220408
234690,녹십자웰빙,건강관리,제약과생물공학,20220408
049960,쎌바이오텍,건강관리,제약과생물공학,20220408
034940,조아제약,건강관리,제약과생물공학,20220408
191420,테고사이언스,건강관리,제약과생물공학,20220408
065170,넥스트BT,건강관리,제약과생물공학,20220408
054050,농우바이오,건강관리,제약과생물공학,20220408
270870,뉴트리,건강관리,제약과생물공학,20220408
041910,에스텍파마,건강관리,제약과생물공학,20220408
222040,코스맥스엔비티,건강관리,제약과생물공학,20220408
214390,경보제약,건강관리,제약과생물공학,20220408
000220,유유제약,건강관리,제약과생물공학,20220408
153710,옵티팜,건강관리,제약과생물공학,20220408
299170,더블유에스아이,건강관리,제약과생물공학,20220408
131030,디에이치피코리아,건강관리,제약과생물공학,20220408
291650,압타머사이언스,건강관리,제약과생물공학,20220408
239610,에이치엘사이언스,건강관리,제약과생물공학,20220408
002720,국제약품,건강관리,제약과생물공학,20220408
251120,바이오에프디엔씨,건강관리,제약과생물공학,20220408
002630,오리엔트바이오,건강관리,제약과생물공학,20220408
217600,켐온,건강관리,제약과생물공학,20220408
335810,프리시젼바이오,건강관리,제약과생물공학,20220408
043090,한창바이오텍,건강관리,제약과생물공학,20220408
012790,신일제약,건강관리,제약과생물공학,20220408
260660,알리코제약,건강관리,제약과생물공학,20220408
200780,비씨월드제약,건강관리,제약과생물공학,20220408
377220,프롬바이오,건강관리,제약과생물공학,20220408
000520,삼일제약,건강관리,제약과생물공학,20220408
007370,진양제약,건강관리,제약과생물공학,20220408
330350,위더스제약,건강관리,제약과생물공학,20220408
331920,셀레믹스,건강관리,제약과생물공학,20220408
389030,지니너스,건강관리,제약과생물공학,20220408
222110,팬젠,건강관리,제약과생물공학,20220408
036180,지더블유바이텍,건강관리,제약과생물공학,20220408
001540,안국약품,건강관리,제약과생물공학,20220408
053950,경남제약,건강관리,제약과생물공학,20220408
196300,애니젠,건강관리,제약과생물공학,20220408
003120,일성신약,건강관리,제약과생물공학,20220408
078140,대봉엘에스,건강관리,제약과생물공학,20220408
347740,피엔케이피부임상연구센타,건강관리,제약과생물공학,20220408
002620,제일파마홀딩스,건강관리,제약과생물공학,20220408
044820,코스맥스비티아이,건강관리,제약과생물공학,20220408
044960,이글벳,건강관리,제약과생물공학,20220408
080720,한국유니온제약,건강관리,제약과생물공학,20220408
014570,고려제약,건강관리,제약과생물공학,20220408
204840,지엘팜텍,건강관리,제약과생물공학,20220408
131220,대한과학,건강관리,제약과생물공학,20220408
032980,바이온,건강관리,제약과생물공학,20220408
187660,에이디엠코리아,건강관리,제약과생물공학,20220408
250060,모비스,건강관리,제약과생물공학,20220408
114450,KPX생명과학,건강관리,제약과생물공학,20220408
109960,에이프로젠 H&G,건강관리,제약과생물공학,20220408
106190,하이텍팜,건강관리,제약과생물공학,20220408
018620,우진비앤지,건강관리,제약과생물공학,20220408
127120,디엔에이링크,건강관리,제약과생물공학,20220408
154030,아시아종묘,건강관리,제약과생물공학,20220408
002800,신신제약,건강관리,제약과생물공학,20220408
238120,얼라인드,건강관리,제약과생물공학,20220408
052670,제일바이오,건강관리,제약과생물공학,20220408
238200,비피도,건강관리,제약과생물공학,20220408
