종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
083790,-1.2,3.96,12.89,-6.02,-19.27,-36.74
099190,0.18,6.79,1.8,-0.18,-10.16,15.75
028670,1.57,8.56,44.46,37.33,-12.35,28.16
002960,-0.39,0.0,4.51,-5.03,-5.03,3.66
106240,1.11,5.0,14.71,32.52,35.15,186.16
038500,1.44,8.0,-2.67,16.16,-6.72,-1.3
066570,-3.14,-0.4,-3.14,6.93,-12.72,-19.81
028260,-2.21,1.84,3.27,4.74,-16.29,-11.95
069080,-3.11,4.47,6.14,-4.11,-12.55,-35.67
007310,-0.11,-0.11,0.11,0.57,-15.44,-22.48
021240,-1.69,1.01,0.58,3.25,-4.25,4.33
095720,-0.17,5.78,3.35,-0.17,-17.35,11.83
008490,-1.12,2.06,0.25,-0.75,-23.65,-21.84
287410,-0.25,8.24,10.94,19.2,-2.08,125.32
272550,-0.21,1.3,0.87,4.95,-24.96,7.37
080420,-4.09,-1.29,0.84,30.6,23.54,29.6
044340,0.27,4.74,3.87,1.08,-4.57,-26.99
068400,0.0,4.98,14.67,9.44,-12.45,-8.26
003090,0.49,5.97,26.99,0.49,-11.29,-17.75
178920,0.0,6.35,9.09,-3.69,-23.71,1.02
067310,0.25,10.67,9.75,10.62,44.63,117.58
000100,0.0,3.92,3.0,5.39,1.02,-4.07
121800,-2.85,15.2,17.59,-44.55,75.77,38.06
034950,0.13,1.69,8.44,-1.26,-4.27,-13.56
068270,-2.34,10.6,10.6,-17.8,-40.19,-44.76
246710,1.7,15.24,3.32,-27.87,-54.44,126.45
000400,-1.17,0.0,14.14,6.94,-5.57,-2.31
001820,-1.56,4.61,-12.23,6.98,-9.42,-18.06
265520,-0.82,11.24,8.26,13.85,-13.85,-16.09
024110,-1.4,-0.47,1.93,2.43,1.44,23.83
306200,5.29,15.63,14.42,19.02,4.78,21.53
293480,0.0,3.51,5.51,4.08,-12.16,-11.4
055490,0.0,0.88,25.39,-3.61,4.44,114.77
138040,-3.14,-11.82,-21.95,-1.16,28.36,178.28
032500,0.94,7.67,0.62,-11.14,-25.4,-50.54
298020,1.22,5.05,19.95,-0.6,-35.45,19.38
402340,-3.81,-4.16,-3.64,-22.06,,
259960,-5.36,-1.05,2.91,-43.84,-39.83,
030210,0.19,5.04,5.89,-11.69,-29.69,22.44
031430,0.0,4.84,27.31,8.6,-22.51,-21.09
195870,0.38,9.24,-1.68,16.24,28.76,52.91
104460,0.27,1.09,-6.64,-10.24,0.81,41.1
214320,-2.53,-0.4,0.5,-2.91,-14.24,-18.3
289220,-2.94,12.41,1.43,-34.05,20.14,
084990,-0.73,9.73,-0.25,-9.26,-14.48,-11.07
017390,0.26,-3.92,13.29,24.44,36.59,101.23
000990,-1.41,0.0,-5.94,4.03,14.83,19.76
006120,-2.2,1.4,1.14,-9.1,-17.71,-39.65
002350,-0.94,1.12,1.12,1.94,-24.76,-22.93
089970,3.81,9.65,6.79,29.84,1.49,2.0
361610,-3.59,0.83,5.22,-22.19,-43.33,
232140,-0.73,3.64,-2.17,3.64,-5.75,-24.23
004170,0.0,4.35,13.79,21.38,0.0,-3.65
034230,0.3,3.73,11.71,21.9,0.6,-4.84
243070,0.42,8.33,10.57,16.12,-6.82,-6.32
024720,-1.22,1.0,17.68,12.47,-16.29,-26.45
012330,-0.88,1.12,-3.02,2.04,-15.73,-28.46
003690,0.93,0.2,-3.55,5.16,5.16,24.08
023590,1.6,6.73,10.17,2.54,-15.27,-17.78
035600,-2.22,2.62,1.73,9.32,-4.35,-4.35
000810,0.0,-1.56,-5.49,-6.19,-17.79,7.98
298690,1.71,10.42,15.78,15.22,-13.11,-27.29
005490,0.34,4.86,10.0,11.69,-9.33,3.0
069260,0.67,3.23,6.67,3.7,-18.84,-4.48
009520,-1.87,2.65,5.29,6.67,-7.77,5.9
108320,-4.11,9.28,-9.68,13.36,8.5,84.35
101490,-2.6,8.12,-4.47,-5.22,-2.76,-17.27
230360,-2.05,-2.62,17.61,0.91,-23.92,-37.22
009830,0.0,13.54,10.54,8.03,-10.2,-24.39
272210,3.76,13.75,12.59,17.38,-12.66,-11.22
039200,-3.87,2.23,-8.02,11.4,-12.35,-16.41
009410,-1.94,4.45,-2.88,3.8,-13.68,-16.18
001630,0.14,2.35,2.5,2.2,-23.38,-33.52
144510,-1.27,4.79,1.16,-25.37,-29.86,-23.08
077970,1.33,15.15,60.34,78.4,38.81,127.2
089010,-0.93,1.52,-3.96,7.01,5.12,-10.7
000720,-0.11,7.33,7.58,2.71,-10.61,12.3
