종목코드,지수코드,지수명,날짜
001500,1004,코스피 소형주,20220224
005500,1004,코스피 소형주,20220224
122900,1004,코스피 소형주,20220224
017940,1004,코스피 소형주,20220224
002960,1004,코스피 소형주,20220224
005950,1004,코스피 소형주,20220224
000020,1004,코스피 소형주,20220224
004700,1004,코스피 소형주,20220224
194370,1004,코스피 소형주,20220224
214330,1004,코스피 소형주,20220224
272550,1004,코스피 소형주,20220224
001520,1004,코스피 소형주,20220224
084690,1004,코스피 소형주,20220224
107590,1004,코스피 소형주,20220224
029530,1004,코스피 소형주,20220224
293480,1004,코스피 소형주,20220224
095720,1004,코스피 소형주,20220224
031440,1004,코스피 소형주,20220224
002030,1004,코스피 소형주,20220224
000480,1004,코스피 소형주,20220224
001200,1004,코스피 소형주,20220224
006110,1004,코스피 소형주,20220224
077500,1004,코스피 소형주,20220224
077970,1004,코스피 소형주,20220224
084680,1004,코스피 소형주,20220224
005960,1004,코스피 소형주,20220224
016580,1004,코스피 소형주,20220224
004250,1004,코스피 소형주,20220224
013580,1004,코스피 소형주,20220224
009680,1004,코스피 소형주,20220224
018470,1004,코스피 소형주,20220224
019680,1004,코스피 소형주,20220224
030210,1004,코스피 소형주,20220224
004090,1004,코스피 소형주,20220224
002780,1004,코스피 소형주,20220224
005810,1004,코스피 소형주,20220224
000140,1004,코스피 소형주,20220224
001470,1004,코스피 소형주,20220224
002460,1004,코스피 소형주,20220224
004980,1004,코스피 소형주,20220224
213500,1004,코스피 소형주,20220224
035510,1004,코스피 소형주,20220224
037710,1004,코스피 소형주,20220224
033920,1004,코스피 소형주,20220224
003200,1004,코스피 소형주,20220224
003060,1004,코스피 소형주,20220224
003920,1004,코스피 소형주,20220224
006060,1004,코스피 소형주,20220224
001130,1004,코스피 소형주,20220224
001940,1004,코스피 소형주,20220224
003570,1004,코스피 소형주,20220224
044450,1004,코스피 소형주,20220224
011280,1004,코스피 소형주,20220224
033180,1004,코스피 소형주,20220224
006490,1004,코스피 소형주,20220224
002390,1004,코스피 소형주,20220224
007460,1004,코스피 소형주,20220224
000680,1004,코스피 소형주,20220224
001460,1004,코스피 소형주,20220224
006840,1004,코스피 소형주,20220224
306200,1004,코스피 소형주,20220224
039570,1004,코스피 소형주,20220224
058430,1004,코스피 소형주,20220224
001070,1004,코스피 소형주,20220224
079430,1004,코스피 소형주,20220224
007860,1004,코스피 소형주,20220224
000490,1004,코스피 소형주,20220224
068290,1004,코스피 소형주,20220224
036530,1004,코스피 소형주,20220224
096760,1004,코스피 소형주,20220224
008350,1004,코스피 소형주,20220224
004380,1004,코스피 소형주,20220224
012610,1004,코스피 소형주,20220224
016610,1004,코스피 소형주,20220224
025000,1004,코스피 소형주,20220224
009580,1004,코스피 소형주,20220224
092230,1004,코스피 소형주,20220224
095570,1004,코스피 소형주,20220224
136490,1004,코스피 소형주,20220224
024090,1004,코스피 소형주,20220224
002810,1004,코스피 소형주,20220224
003960,1004,코스피 소형주,20220224
002100,1004,코스피 소형주,20220224
002150,1004,코스피 소형주,20220224
029460,1004,코스피 소형주,20220224
234080,1004,코스피 소형주,20220224
035150,1004,코스피 소형주,20220224
128820,1004,코스피 소형주,20220224
014160,1004,코스피 소형주,20220224
001790,1004,코스피 소형주,20220224
016450,1004,코스피 소형주,20220224
004560,1004,코스피 소형주,20220224
008060,1004,코스피 소형주,20220224
001270,1004,코스피 소형주,20220224
014280,1004,코스피 소형주,20220224
229640,1004,코스피 소형주,20220224
322000,1004,코스피 소형주,20220224
036580,1004,코스피 소형주,20220224
070960,1004,코스피 소형주,20220224
079980,1004,코스피 소형주,20220224
093230,1004,코스피 소형주,20220224
101530,1004,코스피 소형주,20220224
010690,1004,코스피 소형주,20220224
010820,1004,코스피 소형주,20220224
028100,1004,코스피 소형주,20220224
007160,1004,코스피 소형주,20220224
000390,1004,코스피 소형주,20220224
000540,1004,코스피 소형주,20220224
002900,1004,코스피 소형주,20220224
003160,1004,코스피 소형주,20220224
083420,1004,코스피 소형주,20220224
102260,1004,코스피 소형주,20220224
015360,1004,코스피 소형주,20220224
015860,1004,코스피 소형주,20220224
023450,1004,코스피 소형주,20220224
003120,1004,코스피 소형주,20220224
005720,1004,코스피 소형주,20220224
006740,1004,코스피 소형주,20220224
001570,1004,코스피 소형주,20220224
002710,1004,코스피 소형주,20220224
004830,1004,코스피 소형주,20220224
214390,1004,코스피 소형주,20220224
100250,1004,코스피 소형주,20220224
011500,1004,코스피 소형주,20220224
002620,1004,코스피 소형주,20220224
013570,1004,코스피 소형주,20220224
004360,1004,코스피 소형주,20220224
000970,1004,코스피 소형주,20220224
