종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
366030,공구우먼,2022-03-23,14100,313916760000,3851670,55477005500,22263600,1797.0,24.27,7.85,581.0,17.02,2400.0,20221212
029480,광무,1996-08-27,3070,107650028920,938044,3088474580,35065156,2230.0,0.0,1.38,0.0,0.0,0.0,20221212
440790,교보13호스팩,2022-11-02,1990,8059500000,7463,14845430,4050000,0.0,0.0,0.0,0.0,0.0,0.0,20221212
043650,국순당,2000-08-24,6840,122150799360,13016,88874670,17858304,15298.0,5.0,0.45,1369.0,3.8,260.0,20221212
078130,국일제지,2004-10-22,2430,310110459390,2488111,6190418260,127617473,531.0,0.0,4.58,0.0,0.0,0.0,20221212
204020,그리티,2018-07-23,3025,60945975750,27908,84559995,20147430,3334.0,0.0,0.91,0.0,0.0,0.0,20221212
019660,글로본,1992-06-04,2155,73967519625,167822,363042225,34323675,530.0,0.0,4.07,0.0,0.0,0.0,20221212
308100,까스텔바작,2019-06-10,6630,43921979790,19612,129848150,6624733,10882.0,0.0,0.61,0.0,0.0,0.0,20221212
286750,나노브릭,2019-08-19,1540,31515405460,36110,55591245,20464549,606.0,0.0,2.54,0.0,0.0,0.0,20221212
137080,나래나노텍,2022-02-08,8280,91572014160,43555,362170920,11059422,7456.0,3.98,1.11,2082.0,2.42,200.0,20221212
085910,네오티스,2007-10-01,4890,67622431020,75790,370634095,13828718,4159.0,9.84,1.18,497.0,5.11,250.0,20221212
007390,네이처셀,1992-11-30,16650,1042908647400,1810312,29181717500,62637156,972.0,0.0,17.13,0.0,0.0,0.0,20221212
089140,넥스턴바이오,2006-11-01,1860,72266819940,253160,464239815,38853129,2892.0,0.0,0.64,0.0,0.0,0.0,20221212
376930,노을,2022-03-03,8370,95866046100,2128457,18692248840,11453530,187.0,0.0,44.76,0.0,0.0,0.0,20221212
065560,녹원씨엔아이,2003-07-01,5770,150366921250,0,0,26060125,2064.0,0.0,2.8,0.0,0.0,0.0,20221212
