종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
001260,4.93,10.36,13.3,25.29,3.4,-19.32,-21.98,20230113
008355,3.02,-0.18,-0.73,14.95,24.66,21.06,-32.26,20230113
004270,1.18,8.04,-1.6,18.78,-4.66,-34.35,-50.46,20230113
003920,-4.04,9.84,9.71,28.24,29.47,16.87,56.86,20230113
003925,0.0,8.1,9.78,22.58,25.7,24.75,45.29,20230113
025860,-0.11,4.13,-2.76,-2.65,-6.37,-10.37,4.13,20230113
111710,0.48,1.08,-0.47,22.48,13.69,-2.67,-22.31,20230113
091590,6.19,-0.48,9.46,69.41,45.48,16.91,-22.56,20230113
212560,0.31,1.08,-6.29,2.82,2.98,-5.07,19.93,20230113
095660,9.05,6.01,3.97,13.45,33.86,18.59,68.29,20230113
042420,3.58,16.53,3.21,24.3,-6.62,-62.42,72.02,20230113
092730,0.49,7.07,6.79,21.36,-2.15,-14.26,-39.85,20230113
153460,0.26,0.4,1.2,-1.94,4.4,-7.89,34.34,20230113
033640,0.91,2.78,-13.51,-9.02,-9.02,-52.5,-62.67,20230113
330860,0.25,6.4,-5.9,-4.77,-24.86,-59.82,-62.14,20230113
005720,0.13,1.39,-3.96,2.04,17.99,-12.28,-13.04,20230113
005725,2.77,5.53,-15.44,8.44,11.71,-15.23,11.89,20230113
002350,4.59,6.96,-6.11,-7.42,17.41,-7.16,8.18,20230113
002355,0.92,2.42,-6.29,-3.5,0.0,-20.61,10.2,20230113
137940,-2.38,-1.54,-8.6,24.24,-16.69,-57.48,-62.61,20230113
251270,0.87,11.61,10.96,26.81,-15.52,-48.71,-54.57,20230113
090350,-0.76,0.25,-4.83,2.07,-6.75,-42.06,-20.0,20230113
090355,1.33,1.0,-3.18,-0.33,1.0,-21.24,19.69,20230113
000320,0.0,0.0,-5.14,-4.69,-6.45,-22.81,-4.69,20230113
006280,-1.16,1.19,-8.57,6.67,-30.62,-38.01,-66.88,20230113
142280,-0.71,0.54,-7.63,7.12,-33.53,-19.39,-61.59,20230113
234690,0.24,1.48,-6.48,31.73,1.48,-16.21,-41.49,20230113
005250,-0.88,1.82,-8.7,3.38,-18.05,-34.25,-61.25,20230113
005257,-0.6,-0.15,-15.86,-18.75,-37.8,-32.0,-70.66,20230113
004370,-1.01,2.23,2.54,16.84,22.46,7.68,15.66,20230113
072710,0.0,1.97,-1.17,13.11,1.2,-12.03,-12.94,20230113
054050,1.35,0.67,-0.22,10.46,-7.8,-18.36,-15.68,20230113
069140,3.09,18.07,18.31,54.9,10.68,-17.1,-23.54,20230113
040160,-1.23,14.78,6.43,17.05,-12.17,-38.47,-38.4,20230113
144960,0.53,4.22,2.96,14.52,-4.14,-38.6,-39.09,20230113
085670,0.95,0.31,-16.23,17.65,53.48,-7.51,166.67,20230113
064260,0.75,2.3,-9.03,-7.61,-26.65,-53.16,8.54,20230113
039560,-0.48,4.55,-11.06,9.81,-27.24,-40.0,-69.56,20230113
298870,-5.33,6.6,18.9,69.69,13.76,-20.82,,20230113
030210,2.62,6.83,2.45,-12.2,-24.21,-40.27,-20.25,20230113
023590,0.0,18.85,16.41,32.36,28.25,1.79,-4.82,20230113
032190,11.48,6.64,48.31,201.44,318.76,190.94,204.74,20230113
323350,11.36,-2.0,-1.71,0.0,-12.5,-35.27,143.78,20230113
019680,0.0,5.66,0.56,22.4,-6.88,-28.34,-28.34,20230113
019685,1.42,3.19,-7.77,7.55,-21.59,-32.45,-29.64,20230113
006370,7.74,6.74,3.52,3.83,-8.04,-9.25,14.96,20230113
008060,0.16,1.12,-9.04,5.84,2.09,-18.3,-11.94,20230113
00806K,-1.98,-2.99,-3.09,29.66,3.75,-6.47,6.21,20230113
353200,-2.07,0.71,-4.92,-15.34,-24.11,-8.01,36.22,20230113
35320K,-0.96,1.47,-3.27,2.48,-13.75,-27.62,2.99,20230113
178600,7.29,0.32,-20.46,-14.05,-9.12,-22.36,-22.85,20230113
020400,-0.42,1.62,-1.05,10.85,9.3,-4.08,-1.26,20230113
008830,0.0,4.35,-2.7,10.94,4.35,13.03,87.99,20230113
048470,0.35,2.37,-4.32,-6.7,-14.21,-31.29,-15.39,20230113
008110,-1.1,5.32,-6.7,-11.3,57.74,21.8,121.25,20230113
004780,-0.78,2.29,-1.97,7.19,-2.19,-15.18,-11.13,20230113
005750,-0.25,1.68,-4.95,5.91,-17.83,-51.77,-30.88,20230113
017650,-0.22,-0.44,-0.22,14.78,3.68,-25.54,-17.72,20230113
006570,-0.52,3.53,-4.63,12.21,17.02,2.69,-7.96,20230113
007720,0.39,2.25,-7.98,9.03,-6.42,-36.12,-39.37,20230113
317850,2.79,4.45,-10.1,26.47,61.25,150.0,178.92,20230113
290670,-0.6,7.43,-7.12,25.0,64.6,-5.54,77.57,20230113
078140,0.38,0.77,-3.66,8.23,-10.14,-7.72,-26.26,20230113
001680,0.71,1.91,-1.16,1.67,-2.51,-6.97,-24.96,20230113
001685,0.63,2.56,-0.31,2.56,1.26,-4.46,-12.77,20230113
084690,-0.39,2.8,-4.11,9.38,-0.77,-17.12,-30.0,20230113
084695,0.0,0.55,0.66,-5.27,-0.97,-20.61,9.95,20230113
036480,0.0,1.45,-5.41,3.45,-14.29,-28.57,-51.61,20230113
128820,0.0,4.24,0.0,4.76,-12.92,-9.52,30.02,20230113
117580,0.11,4.38,-19.47,-20.87,-14.53,0.11,73.56,20230113
027830,2.36,6.23,-3.92,29.72,-6.79,-3.76,40.05,20230113
104040,0.0,3.1,0.3,30.08,2.15,-40.32,-38.45,20230113
016710,-2.14,1.78,0.88,22.59,45.3,138.54,313.36,20230113
387310,-5.12,-2.88,17.38,16.19,27.84,33.8,,20230113
397500,-2.79,2.7,-6.7,4.5,-22.01,-0.48,,20230113
020180,0.81,8.23,-11.97,-4.94,8.7,3.73,-32.98,20230113
003540,0.77,3.97,-10.27,-7.42,-8.39,-26.4,0.0,20230113
003547,-0.43,1.32,-11.49,-12.17,-11.15,-23.76,24.33,20230113
003545,-0.42,1.71,-12.5,-14.08,-10.53,-24.68,21.8,20230113
108380,0.83,1.26,-2.81,2.54,4.31,-28.19,-30.46,20230113
006580,0.0,0.0,0.0,0.0,0.0,0.0,-1.95,20230113
014160,1.57,4.52,-4.99,21.8,-2.99,-35.2,-20.0,20230113
047040,1.09,3.34,3.0,11.67,-11.45,-23.81,-18.74,20230113
009320,-0.33,4.47,-3.8,-1.94,-16.02,-38.71,-48.12,20230113
042660,0.77,9.19,2.08,7.99,1.29,-22.38,-31.11,20230113
003090,0.0,2.6,-7.51,-0.51,-28.36,-33.45,-66.21,20230113
069620,-1.37,-4.93,-8.54,-2.03,-18.36,3.96,-13.73,20230113
007680,-0.14,-1.4,-7.62,-6.02,-18.35,-25.21,-28.41,20230113
000430,-0.77,3.85,-3.29,27.36,3.52,-12.45,-21.0,20230113
048910,5.07,1.63,7.61,34.05,20.08,-18.37,73.36,20230113
