종목코드,종목명,섹터,DT
005010,휴스틸,철강,20230112
306200,세아제강,철강,20230112
001390,KG케미칼,철강,20230112
100130,동국S&C,철강,20230112
104700,한국철강,철강,20230112
139990,아주스틸,철강,20230112
084010,대한제강,철강,20230112
002710,TCC스틸,철강,20230112
008970,동양철관,철강,20230112
005160,동국산업,철강,20230112
001940,KISCO홀딩스,철강,20230112
023440,제이스코홀딩스,철강,20230112
000970,한국주철관,철강,20230112
001080,만호제강,철강,20230112
025550,한국선재,철강,20230112
008260,NI스틸,철강,20230112
007280,한국특강,철강,20230112
162300,신스틸,철강,20230112
053260,금강철강,철강,20230112
039240,경남스틸,철강,20230112
058650,세아홀딩스,철강,20230112
008420,문배철강,철강,20230112
019440,세아특수강,철강,20230112
120030,조선선재,철강,20230112
071090,하이스틸,철강,20230112
069730,DSR제강,철강,20230112
002220,한일철강,철강,20230112
026940,부국철강,철강,20230112
017480,삼현철강,철강,20230112
048470,대동스틸,철강,20230112
133820,화인베스틸,철강,20230112
012160,영흥,철강,20230112
021040,대호특수강,철강,20230112
012620,원일특강,철강,20230112
001770,SHD,철강,20230112
025890,한국주강,철강,20230112
140520,대창스틸,철강,20230112
263770,유에스티,철강,20230112
000590,CS홀딩스,철강,20230112
060380,동양에스텍,철강,20230112
002690,동일제강,철강,20230112
026910,광진실업,철강,20230112
023790,동일철강,철강,20230112
028050,삼성엔지니어링,건설,20230112
000720,현대건설,건설,20230112
006360,GS건설,건설,20230112
002380,KCC,건설,20230112
375500,DL이앤씨,건설,20230112
047040,대우건설,건설,20230112
100090,삼강엠앤티,건설,20230112
003410,쌍용C&E,건설,20230112
010780,아이에스동서,건설,20230112
009240,한샘,건설,20230112
294870,HDC현대산업개발,건설,20230112
013890,지누스,건설,20230112
101670,하이드로리튬,건설,20230112
344820,KCC글라스,건설,20230112
053690,한미글로벌,건설,20230112
001470,삼부토건,건설,20230112
300720,한일시멘트,건설,20230112
108670,LX하우시스,건설,20230112
012630,HDC,건설,20230112
004980,성신양회,건설,20230112
025900,동화기업,건설,20230112
023410,유진기업,건설,20230112
049180,셀루메드,건설,20230112
183190,아세아시멘트,건설,20230112
002990,금호건설,건설,20230112
002150,도화엔지니어링,건설,20230112
066980,이엔코퍼레이션,건설,20230112
001520,동양,건설,20230112
045100,한양이엔지,건설,20230112
038500,삼표시멘트,건설,20230112
035890,서희건설,건설,20230112
013120,동원개발,건설,20230112
094820,일진파워,건설,20230112
109610,에스와이,건설,20230112
003300,한일홀딩스,건설,20230112
003070,코오롱글로벌,건설,20230112
079430,현대리바트,건설,20230112
001880,DL건설,건설,20230112
011370,서한,건설,20230112
036190,금화피에스시,건설,20230112
026150,특수건설,건설,20230112
002780,진흥기업,건설,20230112
037440,희림,건설,20230112
016800,퍼시스,건설,20230112
028100,동아지질,건설,20230112
013580,계룡건설,건설,20230112
041590,플래스크,건설,20230112
007210,벽산,건설,20230112
014280,금강공업,건설,20230112
000390,삼화페인트,건설,20230112
018310,삼목에스폼,건설,20230112
060370,KT서브마린,건설,20230112
065950,웰크론,건설,20230112
090350,노루페인트,건설,20230112
060560,홈센타홀딩스,건설,20230112
076080,웰크론한텍,건설,20230112
025750,한솔홈데코,건설,20230112
039570,HDC랩스,건설,20230112
225530,보광산업,건설,20230112
186230,그린플러스,건설,20230112
000860,강남제비스코,건설,20230112
005960,동부건설,건설,20230112
004960,한신공영,건설,20230112
317400,자이에스앤디,건설,20230112
206400,베노홀딩스,건설,20230112
002460,화성산업,건설,20230112
007110,일신석재,건설,20230112
010960,삼호개발,건설,20230112
002410,범양건영,건설,20230112
058730,다스코,건설,20230112
006390,한일현대시멘트,건설,20230112
014790,HL D&I,건설,20230112
090410,덕신하우징,건설,20230112
054930,유신,건설,20230112
097230,HJ중공업,건설,20230112
