종목코드,종목명,섹터,DT
352940,인바이오,화학,20230710
002100,경농,화학,20230710
066430,와이오엠,화학,20230710
101240,씨큐브,화학,20230710
045060,오공,화학,20230710
014440,영보화학,화학,20230710
285800,진영,화학,20230710
003830,대한화섬,화학,20230710
247660,나노씨엠에스,화학,20230710
097870,효성오앤비,화학,20230710
286750,나노브릭,화학,20230710
091970,나노캠텍,화학,20230710
007770,한일화학,화학,20230710
332290,누보,화학,20230710
001550,조비,화학,20230710
010640,진양폴리,화학,20230710
050760,에스폴리텍,화학,20230710
024070,WISCOM,화학,20230710
191410,육일씨엔에쓰,화학,20230710
008370,원풍,화학,20230710
051630,진양화학,화학,20230710
196700,웹스,화학,20230710
048830,엔피케이,화학,20230710
003080,성보화학,화학,20230710
115570,스타플렉스,화학,20230710
000760,이화산업,화학,20230710
221980,케이디켐,화학,20230710
010130,고려아연,비철금속,20230710
006110,삼아알미늄,비철금속,20230710
103140,풍산,비철금속,20230710
006740,영풍제지,비철금속,20230710
008350,남선알미늄,비철금속,20230710
008730,율촌화학,비철금속,20230710
001780,알루코,비철금속,20230710
014820,동원시스템즈,비철금속,20230710
000480,조선내화,비철금속,20230710
213500,한솔제지,비철금속,20230710
222810,세토피아,비철금속,20230710
005810,풍산홀딩스,비철금속,20230710
002310,아세아제지,비철금속,20230710
034810,해성산업,비철금속,20230710
002030,아세아,비철금속,20230710
058430,포스코스틸리온,비철금속,20230710
018470,조일알미늄,비철금속,20230710
004560,현대비앤지스틸,비철금속,20230710
014580,태경비케이,비철금속,20230710
081000,일진다이아,비철금속,20230710
037370,EG,비철금속,20230710
115390,락앤락,비철금속,20230710
009190,대양금속,비철금속,20230710
016590,신대양제지,비철금속,20230710
004250,NPC,비철금속,20230710
251970,펌텍코리아,비철금속,20230710
004150,한솔홀딩스,비철금속,20230710
000180,성창기업지주,비철금속,20230710
015890,태경산업,비철금속,20230710
012320,경동인베스트,비철금속,20230710
009730,코센,비철금속,20230710
025820,이구산업,비철금속,20230710
009580,무림P&P,비철금속,20230710
115960,연우,비철금속,20230710
272550,삼양패키징,비철금속,20230710
010040,한국내화,비철금속,20230710
012800,대창,비철금속,20230710
033310,엠투엔,비철금속,20230710
069460,대호에이엘,비철금속,20230710
081150,티플랙스,비철금속,20230710
014160,대영포장,비철금속,20230710
002200,한국수출포장,비철금속,20230710
032560,황금에스티,비철금속,20230710
124500,아이티센,비철금속,20230710
004540,깨끗한나라,비철금속,20230710
023600,삼보판지,비철금속,20230710
011280,태림포장,비철금속,20230710
