종목코드,종목명,산업,섹터,DT
091810,티웨이항공,산업재,운송,20240822
002320,한진,산업재,운송,20240822
272450,진에어,산업재,운송,20240822
298690,에어부산,산업재,운송,20240822
004360,세방,산업재,운송,20240822
044450,KSS해운,산업재,운송,20240822
009070,KCTC,산업재,운송,20240822
004140,동방,산업재,운송,20240822
000700,유수홀딩스,산업재,운송,20240822
067900,와이엔텍,산업재,운송,20240822
005430,한국공항,산업재,운송,20240822
124560,태웅로직스,산업재,운송,20240822
095570,AJ네트웍스,산업재,운송,20240822
009180,한솔로지스틱스,산업재,운송,20240822
465770,STX그린로지스,산업재,운송,20240822
065710,서호전기,산업재,운송,20240822
003100,선광,산업재,운송,20240822
033290,코웰패션,산업재,운송,20240822
024800,유성티엔에스,산업재,운송,20240822
045340,토탈소프트,산업재,운송,20240822
054300,팬스타엔터프라이즈,산업재,운송,20240822
038390,레드캡투어,산업재,운송,20240822
040610,SG&G,산업재,운송,20240822
014130,한익스프레스,산업재,운송,20240822
129260,인터지스,산업재,운송,20240822
032280,삼일,산업재,운송,20240822
121890,에스디시스템,산업재,운송,20240822
084670,동양고속,산업재,운송,20240822
000650,천일고속,산업재,운송,20240822
005380,현대차,경기관련소비재,자동차와부품,20240822
000270,기아,경기관련소비재,자동차와부품,20240822
012330,현대모비스,경기관련소비재,자동차와부품,20240822
161390,한국타이어앤테크놀로지,경기관련소비재,자동차와부품,20240822
204320,HL만도,경기관련소비재,자동차와부품,20240822
004490,세방전지,경기관련소비재,자동차와부품,20240822
011210,현대위아,경기관련소비재,자동차와부품,20240822
018880,한온시스템,경기관련소비재,자동차와부품,20240822
005850,에스엘,경기관련소비재,자동차와부품,20240822
025540,한국단자,경기관련소비재,자동차와부품,20240822
003620,KG모빌리티,경기관련소비재,자동차와부품,20240822
073240,금호타이어,경기관련소비재,자동차와부품,20240822
000240,한국앤컴퍼니,경기관련소비재,자동차와부품,20240822
064960,SNT모티브,경기관련소비재,자동차와부품,20240822
015750,성우하이텍,경기관련소비재,자동차와부품,20240822
007340,DN오토모티브,경기관련소비재,자동차와부품,20240822
060980,HL홀딩스,경기관련소비재,자동차와부품,20240822
107640,한중엔시에스,경기관련소비재,자동차와부품,20240822
009900,명신산업,경기관련소비재,자동차와부품,20240822
002350,넥센타이어,경기관련소비재,자동차와부품,20240822
271940,일진하이솔루스,경기관련소비재,자동차와부품,20240822
003570,SNT다이내믹스,경기관련소비재,자동차와부품,20240822
041020,폴라리스오피스,경기관련소비재,자동차와부품,20240822
381970,케이카,경기관련소비재,자동차와부품,20240822
200880,서연이화,경기관련소비재,자동차와부품,20240822
000430,대원강업,경기관련소비재,자동차와부품,20240822
151860,KG에코솔루션,경기관련소비재,자동차와부품,20240822
126600,BGF에코머티리얼즈,경기관련소비재,자동차와부품,20240822
001390,KG케미칼,경기관련소비재,자동차와부품,20240822
010690,화신,경기관련소비재,자동차와부품,20240822
036530,SNT홀딩스,경기관련소비재,자동차와부품,20240822
118990,모트렉스,경기관련소비재,자동차와부품,20240822
123040,엠에스오토텍,경기관련소비재,자동차와부품,20240822
123410,코리아에프티,경기관련소비재,자동차와부품,20240822
043370,피에이치에이,경기관련소비재,자동차와부품,20240822
005720,넥센,경기관련소비재,자동차와부품,20240822
067990,도이치모터스,경기관련소비재,자동차와부품,20240822
066590,우수AMS,경기관련소비재,자동차와부품,20240822
105550,엣지파운드리,경기관련소비재,자동차와부품,20240822
424960,스마트레이더시스템,경기관련소비재,자동차와부품,20240822
