종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
005720,0.55,1.57,3.53,10.73,-9.56,-8.47,20220502
005725,0.68,0.96,5.76,2.08,0.14,8.09,20220502
002350,0.58,2.83,7.13,10.56,-8.72,-21.3,20220502
002355,1.05,0.75,4.65,7.48,0.6,-3.57,20220502
251270,-2.72,-3.33,-13.89,-15.07,-24.7,-28.19,20220502
090350,0.45,-0.44,-8.54,4.65,8.17,-17.88,20220502
090355,-0.24,0.0,-0.95,-5.45,-4.15,-38.46,20220502
000320,0.41,-2.81,-2.81,3.42,-0.82,-17.69,20220502
000325,-0.54,-1.33,-8.96,-36.14,-25.13,-50.0,20220502
194700,1.79,2.71,-0.5,5.29,-4.1,-5.69,20220502
006280,2.39,6.63,-3.26,9.97,-29.69,-42.98,20220502
142280,-0.75,-5.32,-20.02,-2.37,-20.02,-41.42,20220502
234690,0.86,1.19,-2.5,6.72,-16.71,-23.82,20220502
005250,-0.45,2.32,-5.97,0.0,-24.74,-39.75,20220502
005257,-0.81,-1.15,-8.05,-0.58,-37.9,-52.07,20220502
004370,0.82,-3.16,2.51,-5.26,7.94,7.37,20220502
072710,-0.53,-1.45,2.9,0.67,-3.62,-5.57,20220502
054050,1.93,-0.75,4.76,33.33,11.39,1.54,20220502
069140,0.0,7.78,0.0,13.92,-7.34,-2.96,20220502
040160,3.43,8.3,-4.86,5.95,-1.63,7.7,20220502
012340,-0.92,-2.42,-4.02,-13.19,-8.51,-9.79,20220502
144960,-1.69,-3.31,-4.89,-1.87,-21.88,-18.6,20220502
119860,-2.84,-4.43,-12.02,-12.58,-26.79,-32.79,20220502
064260,-2.7,-4.67,-18.43,-4.87,14.11,20.88,20220502
030210,-0.64,-1.57,-10.67,-4.67,-28.72,-19.55,20220502
023590,-0.72,-1.9,-6.36,2.23,-11.59,-22.56,20220502
032190,-2.48,-0.36,-2.83,3.77,1.85,2.61,20220502
271850,0.0,0.0,-17.96,-34.87,-52.99,-33.33,20220502
019680,0.0,1.64,5.21,14.12,-6.81,-7.23,20220502
019685,-0.18,0.54,2.58,10.76,-14.46,-14.72,20220502
006370,-0.94,-1.86,-0.94,16.96,-0.47,-3.21,20220502
008060,0.13,-2.72,2.34,9.31,7.37,9.46,20220502
00806K,-1.77,-3.06,3.26,11.0,2.3,-3.48,20220502
353200,0.33,-0.97,10.04,40.18,79.01,100.65,20220502
35320K,-2.81,0.65,7.61,14.76,11.47,14.76,20220502
000490,3.03,1.66,9.29,37.22,56.12,42.99,20220502
178600,-3.78,-10.44,-3.66,-12.24,-5.85,3.95,20220502
008830,5.45,-3.3,20.12,61.44,57.49,97.35,20220502
048470,1.44,-5.15,13.51,24.68,13.18,14.01,20220502
008110,-1.1,-1.34,-13.01,-0.12,2.93,-12.07,20220502
004780,-2.05,5.34,4.0,17.57,-0.87,-7.44,20220502
005750,2.89,5.54,8.62,17.0,17.0,10.38,20220502
017650,0.46,-1.81,0.46,1.4,0.46,-25.94,20220502
006570,0.69,6.21,9.27,20.61,16.42,7.52,20220502
007720,-1.18,0.0,0.0,20.67,-18.24,-9.06,20220502
317850,0.0,62.41,70.96,92.05,69.12,57.0,20220502
078140,0.48,1.46,5.66,30.62,19.84,-1.88,20220502
001680,-0.79,-1.37,9.57,13.77,5.66,-2.51,20220502
001685,3.02,-7.03,18.84,25.38,12.33,-5.96,20220502
084690,0.94,-5.73,14.32,25.0,7.0,-4.46,20220502
084695,2.88,-21.08,33.06,55.56,34.73,-17.22,20220502
036480,1.66,0.33,5.14,24.29,-0.97,-19.84,20220502
128820,0.0,11.38,17.34,35.14,5.18,20.04,20220502
117580,1.42,67.29,53.65,128.61,86.46,217.38,20220502
027830,-0.84,-1.17,-3.89,18.6,-12.92,-25.41,20220502
104040,-0.47,-2.29,-9.94,-13.24,-3.84,-24.06,20220502
