종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS
036120,SCI평가정보,1999-12-07,3225,115197500000,24113.0,77528745.0,35500000.0,718.0,18.02,4.49,179.0,1.09,35.0
032540,TJ미디어,1997-04-16,7200,100446900890,2756242.0,19668184870.0,13931609.0,5509.0,0.0,1.31,0.0,0.0,0.0
217730,강스템바이오텍,2015-12-21,3085,117607567500,68962.0,213450425.0,37937925.0,1800.0,0.0,1.71,0.0,0.0,0.0
053950,경남제약,2001-11-06,4065,81701977375,3216390.0,13384325540.0,20049565.0,2908.0,0.0,1.4,0.0,0.0,0.0
024910,경창산업,1994-12-29,3145,112471675700,74055.0,230863795.0,35819005.0,2329.0,23.3,1.35,135.0,0.0,0.0
331520,교보9호스팩,2019-10-29,2110,8167400000,320.0,672570.0,3880000.0,0.0,0.0,0.0,0.0,0.0,0.0
043650,국순당,2000-08-24,11050,198227174400,191004.0,2108138400.0,17858304.0,12355.0,9.36,0.89,1181.0,1.45,160.0
078130,국일제지,2004-10-22,3785,482394047940,551652.0,2072953305.0,127617473.0,548.0,0.0,6.91,0.0,0.0,0.0
204020,그리티,2018-07-23,2850,57420175500,139499.0,395532885.0,20147430.0,3573.0,58.16,0.8,49.0,1.05,30.0
019660,글로본,1992-06-04,2420,79645220160,68214.0,163715150.0,32911248.0,585.0,0.0,4.14,0.0,0.0,0.0
308100,까스텔바작,2019-06-10,9250,61085442000,20769.0,192984930.0,6596700.0,12351.0,12.72,0.75,727.0,0.0,0.0
286750,나노브릭,2019-08-19,2815,57607705435,109875.0,305553145.0,20464549.0,705.0,0.0,3.99,0.0,0.0,0.0
137080,나래나노텍,2022-02-08,13050,143219514900,237785.0,3055044850.0,11059422.0,5331.0,49.06,2.45,266.0,0.77,100.0
094860,네오리진,2007-04-16,820,81643445434,451702.0,367631063.0,99808613.0,137.0,0.0,5.99,0.0,0.0,0.0
095660,네오위즈,2007-07-02,25350,558554776650,397290.0,9989796850.0,22033719.0,17586.0,9.05,1.44,2802.0,0.0,0.0
085910,네오티스,2007-10-01,5700,78961979780,359952.0,2049120590.0,13828718.0,3729.0,300.0,1.53,19.0,4.39,250.0
007390,네이처셀,1992-11-30,16250,1023954000600,266804.0,4329746750.0,62627156.0,1024.0,0.0,15.87,0.0,0.0,0.0
106520,노블엠앤비,2012-07-13,5540,122431210830,676867.0,3659786175.0,22300767.0,1105.0,0.0,5.01,0.0,0.0,0.0
054050,농우바이오,2002-04-02,11150,177939227100,82936.0,919031650.0,16030561.0,14729.0,19.03,0.76,586.0,1.79,200.0
012340,뉴인텍,1997-02-12,3535,106207314570,688554.0,2391586110.0,30044502.0,915.0,272.0,3.86,13.0,0.0,0.0
270870,뉴트리,2018-12-13,20000,183145468800,37841.0,745773950.0,9180224.0,7732.0,9.23,2.59,2168.0,1.25,250.0
340360,다보링크,2019-12-19,1690,72273120400,291893.0,486174790.0,42765160.0,0.0,0.0,0.0,0.0,0.0,0.0
078140,대봉엘에스,2005-12-23,9520,105544232080,77536.0,735898870.0,11086579.0,9358.0,18.1,1.02,526.0,0.53,50.0
332290,대신밸런스제7호스팩,2019-10-11,2025,10644225000,233255.0,475081675.0,5205000.0,0.0,0.0,0.0,0.0,0.0,0.0
290380,대유,2018-08-10,5270,76155994760,1792322.0,9429812200.0,14478326.0,4330.0,16.06,1.22,328.0,0.0,0.0
290120,대유에이피,2018-12-07,5950,68035245250,21172.0,124429250.0,11434495.0,4593.0,11.23,1.3,530.0,3.36,200.0
003310,대주산업,1992-08-01,1830,64591038750,577365.0,1059559100.0,35392350.0,1530.0,18.67,1.2,98.0,1.91,35.0
060900,대한그린파워,2002-09-17,1180,204752363925,1254999.0,1476857800.0,172786805.0,211.0,0.0,5.59,0.0,0.0,0.0
023910,대한약품,1994-11-23,29050,173700000000,8534.0,246557150.0,6000000.0,30321.0,10.03,0.96,2897.0,1.38,400.0
006620,동구바이오제약,2018-02-13,7260,206655841920,51478.0,371326340.0,28464992.0,3335.0,22.12,2.18,328.0,1.38,100.0
086450,동국제약,2007-05-29,20800,933660000000,76150.0,1588982250.0,44460000.0,9095.0,16.34,2.29,1273.0,0.87,180.0
203650,드림시큐리티,2014-10-13,4220,213303253110,558045.0,2333104290.0,50605754.0,1356.0,42.62,3.11,99.0,0.0,0.0
