종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,R2Y,DT
373220,2.93,0.3,-2.91,-14.27,-12.47,-38.69,-20.02,20240801
003555,0.33,1.83,1.83,0.99,2.34,-4.37,-1.13,20240801
032640,0.0,0.3,3.4,2.56,-1.96,-0.69,-19.44,20240801
011070,0.2,-0.77,-4.65,14.77,34.29,-2.84,-28.85,20240801
066570,-0.29,-5.9,-3.26,13.33,10.91,-1.98,10.91,20240801
066575,0.62,-0.82,1.46,14.25,15.2,2.0,3.74,20240801
037560,1.59,1.77,-2.7,-14.67,-23.2,-28.27,-47.16,20240801
051910,2.78,0.32,-11.05,-22.47,-27.73,-51.09,-48.52,20240801
051915,3.52,-1.56,-9.63,-16.95,-18.93,-41.97,-25.76,20240801
079550,2.25,-5.98,4.5,14.31,94.58,167.32,135.87,20240801
006260,3.63,0.08,-8.89,-11.38,31.61,2.48,102.19,20240801
010120,0.65,-14.06,-12.02,10.57,163.07,67.75,224.34,20240801
000680,-0.5,1.8,-6.95,-14.87,-7.49,-47.33,26.81,20240801
229640,1.26,0.36,-7.99,-11.46,40.65,168.83,288.43,20240801
078020,0.82,1.86,-3.61,-2.08,15.44,23.68,-25.34,20240801
108320,1.33,2.7,-4.4,2.98,-2.69,-23.77,-22.37,20240801
001120,1.46,4.87,-0.32,9.47,10.64,-12.11,-6.45,20240801
108670,2.24,3.23,11.25,12.82,23.11,-9.36,8.48,20240801
108675,1.43,0.81,8.28,13.47,29.77,18.33,24.56,20240801
383800,1.96,5.81,4.6,4.9,3.85,-9.0,-16.61,20240801
38380K,-0.67,-0.34,-0.23,-2.0,-5.35,-11.69,-26.33,20240801
023150,0.89,-0.35,-6.43,-7.19,-13.55,-16.96,-36.04,20240801
160550,4.7,0.18,-9.87,-15.35,-33.29,-63.21,-62.01,20240801
053290,1.44,-2.22,-5.5,-25.34,-33.96,-22.04,-46.5,20240801
060250,0.85,-8.06,-8.36,-28.0,-32.0,-8.96,-35.18,20240801
104200,2.79,-1.94,4.52,-5.04,-10.4,-16.24,-54.65,20240801
