종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,DT
122990,와이솔,2010-09-10,6610,186315680010,86098,562395780,28186941,12377.0,0.0,0.53,0.0,3.78,250.0,20231110
403490,우듬지팜,2023-09-19,2140,96138352960,3656893,7935548805,44924464,,,,,,,20231110
032820,우리기술,2000-06-22,1304,199950951597,629455,821843481,153454299,634.0,56.7,2.06,23.0,0.0,0.0,20231110
041190,우리기술투자,2000-06-09,5210,438480000000,20121627,106754875120,84000000,5124.0,0.0,1.02,0.0,0.0,0.0,20231110
073560,우리손에프앤지,2016-07-27,1560,107318346650,217803,336455028,69237643,3660.0,4.32,0.43,361.0,3.21,50.0,20231110
153490,우리이앤엘,2013-02-05,1004,51685920000,49426,49079083,51480000,1491.0,9.56,0.67,105.0,0.0,0.0,20231110
396470,워트,2023-10-26,10470,167809200000,1860938,20043427270,16120000,2716.0,21.41,3.85,489.0,0.0,0.0,20231110
376980,원티드랩,2021-08-11,8890,82746090000,32765,288819380,9456696,4552.0,8.87,1.95,1002.0,0.0,0.0,20231110
008370,원풍,1992-12-18,4350,52020000000,24129,104694210,12000000,7508.0,5.89,0.58,739.0,4.6,200.0,20231110
101160,월덱스,2008-06-19,23800,392961633400,184113,4380757900,16510993,11274.0,9.47,2.11,2514.0,0.21,50.0,20231110
076080,웰크론한텍,2008-07-18,3325,75238539480,77810,258070540,22594156,3066.0,0.0,1.08,0.0,0.0,0.0,20231110
196700,웹스,2015-08-24,1876,26961498288,35789,67881114,14364144,2335.0,0.0,0.8,0.0,0.0,0.0,20231110
900340,윙입푸드,2018-11-30,786,37563194124,99760,78353142,47973428,,,,,,,20231110
036200,유니셈,1999-12-10,7420,227528534660,155565,1146642990,30664223,6780.0,11.14,1.09,666.0,1.35,100.0,20231110
206650,유바이오로직스,2017-01-24,9900,359808945090,236060,2323907180,36454807,3416.0,0.0,2.9,0.0,0.0,0.0,20231110
049520,유아이엘,2001-08-02,4475,98250061360,61252,272307725,21784936,7062.0,13.64,0.63,328.0,0.0,0.0,20231110
263770,유에스티,2017-04-06,3070,71574519440,8251,24697540,23700172,2949.0,5.76,1.04,533.0,3.26,100.0,20231110
023410,유진기업,1994-10-07,3590,277932552485,458734,1639058265,77310863,12896.0,8.82,0.28,407.0,4.74,170.0,20231110
056080,유진로봇,2001-11-13,11000,413383915040,524494,5812823740,37512152,1175.0,84.62,9.36,130.0,0.0,0.0,20231110
263050,유틸렉스,2018-12-24,2495,90068994750,62396,152197740,36762855,2387.0,0.0,1.05,0.0,0.0,0.0,20231110
274400,이노시뮬레이션,2023-07-06,12260,96887644140,277127,3390009710,7819826,2166.0,0.0,5.66,0.0,0.0,0.0,20231110
215790,이노인스트루먼트,2015-05-08,1002,40484564745,57793,57072038,40283149,2424.0,7.16,0.41,140.0,0.0,0.0,20231110
272290,이녹스첨단소재,2017-07-10,33050,666654714000,115869,3788652900,20201658,19465.0,7.66,1.7,4316.0,1.36,450.0,20231110
041520,이라이콤,2003-07-04,6770,82517702100,19126,129129660,12188730,16304.0,0.0,0.42,0.0,4.43,300.0,20231110
096040,이트론,2008-01-25,271,245561580945,0,0,906131295,113.0,0.0,2.4,0.0,0.0,0.0,20231110
079950,인베니아,2005-02-04,1065,24800800000,20209,21577521,23200000,2407.0,0.0,0.44,0.0,0.0,0.0,20231110
216050,인크로스,2016-10-31,10420,133697941020,49059,508471430,12843222,8792.0,8.13,1.19,1281.0,3.73,389.0,20231110
094820,일진파워,2007-11-06,10370,156516999420,55611,579021930,15078709,8318.0,9.97,1.25,1040.0,3.18,330.0,20231110
045510,정원엔시스,2000-09-07,1264,40712545088,29067,37151492,32209292,1313.0,33.26,0.96,38.0,0.0,0.0,20231110
187420,제노포커스,2015-05-29,3060,67592537100,10938,32917265,22758430,1061.0,0.0,2.88,0.0,0.0,0.0,20231110
123330,제닉,2011-08-03,3665,25655000000,14708,52937140,7000000,2325.0,0.0,1.58,0.0,0.0,0.0,20231110
147830,제룡산업,2012-02-13,3320,66300000000,23524,77122980,20000000,3740.0,7.26,0.89,457.0,4.52,150.0,20231110
204270,제이앤티씨,2020-03-04,12520,719634917040,290418,3688276460,57848466,5867.0,0.0,2.13,0.0,0.0,0.0,20231110
126880,제이엔케이히터,2011-01-31,5070,117416809180,143823,726585470,23204903,4884.0,16.2,1.04,313.0,1.97,100.0,20231110
418550,제이오,2023-02-16,22150,692531633300,178348,3935737850,31336273,2348.0,0.0,9.43,0.0,0.0,0.0,20231110
044060,조광ILI,2001-01-18,732,70075958688,0,0,95732184,961.0,0.0,0.76,0.0,0.0,0.0,20231110
000440,중앙에너비스,1993-03-24,17640,109286131500,74525,1305492970,6227130,13266.0,156.11,1.33,113.0,1.81,320.0,20231110
314130,지놈앤컴퍼니,2020-12-23,12250,173178957880,21577,265227820,14102521,6905.0,0.0,1.77,0.0,0.0,0.0,20231110
382800,지앤비에스 에코,2021-10-29,5780,43384697340,69963,401084510,7506003,2430.0,11.2,2.38,516.0,0.0,0.0,20231110
204840,지엘팜텍,2014-11-20,1130,70335380808,280332,317054486,62354061,259.0,0.0,4.36,0.0,0.0,0.0,20231110
109820,진매트릭스,2009-11-06,2980,58937619600,629691,1795269255,20393640,1211.0,0.0,2.46,0.0,0.0,0.0,20231110
004650,창해에탄올,2014-07-30,9220,84739959700,17630,164134330,9190885,17391.0,922.0,0.53,10.0,5.42,500.0,20231110
047820,초록뱀미디어,2002-12-24,5400,132051222000,0,0,24453930,13331.0,0.0,0.41,0.0,0.0,0.0,20231110
900310,컬러레이,2017-08-10,909,58406007600,240716,219354298,64041675,,,,,,,20231110
093640,케이알엠,2007-10-19,9800,287459678880,62397,611799380,29213382,2402.0,0.0,4.08,0.0,0.0,0.0,20231110
064820,케이프,2007-05-29,4110,131023326720,23886,101488400,30901728,6516.0,587.14,0.63,7.0,2.43,100.0,20231110
047770,코데즈컴바인,2001-09-18,1808,68949220844,73736,133924015,37842602,1585.0,9.0,1.14,201.0,0.0,0.0,20231110
080530,코디,2010-01-05,1132,35884001160,15551,17661288,31643740,844.0,0.0,1.34,0.0,0.0,0.0,20231110
123410,코리아에프티,2010-08-27,3140,87142530320,290144,907667805,27841064,5157.0,9.35,0.61,336.0,2.55,80.0,20231110
009730,코센,1990-07-27,2770,83114425280,248733,679193475,30556774,1074.0,17.99,2.58,154.0,0.0,0.0,20231110
355150,코스텍시스,2020-09-18,1910,71785749650,37643,71989338,37603850,1690.0,238.75,1.13,8.0,0.0,0.0,20231110
200130,콜마비앤에이치,2014-07-23,16350,485400657940,32412,534855550,29543558,13595.0,11.93,1.2,1371.0,1.88,308.0,20231110
317690,퀀타매트릭스,2020-12-09,4670,77477770535,62287,297042120,16537411,2420.0,0.0,1.93,0.0,0.0,0.0,20231110
365270,큐라클,2021-07-22,8570,119017387780,22799,196793090,13855342,3335.0,0.0,2.57,0.0,0.0,0.0,20231110
036170,클라우드에어,1999-12-21,895,55474525904,72890,65344857,61365626,1836.0,12.79,0.49,70.0,0.0,0.0,20231110
139670,키네마스터,2011-12-02,3810,53688618240,10332,39802060,13981411,704.0,0.0,5.41,0.0,0.0,0.0,20231110
413600,키움제6호스팩,2022-04-07,2110,7237300000,45,94965,3430000,,,,,,,20231110
219130,타이거일렉,2015-09-25,18150,114288649000,101594,1856813100,6314290,8781.0,31.9,2.07,569.0,0.0,0.0,20231110
134580,탑코미디어,2013-11-26,3215,70812840905,34457,110250010,22025767,2151.0,0.0,1.49,0.0,0.0,0.0,20231110
095610,테스,2008-05-20,21950,431935738100,105335,2289115350,19768226,17483.0,8.51,1.26,2580.0,2.28,500.0,20231110
108230,톱텍,2009-09-15,7680,292398754050,77931,595347750,38023245,8696.0,18.96,0.88,405.0,1.3,100.0,20231110
130740,티피씨글로벌,2011-02-08,2675,29770432560,72839,194450650,11276679,5508.0,0.0,0.49,0.0,0.0,0.0,20231110
047310,파워로직스,2003-07-25,6290,223425960480,394842,2461632030,35691048,4861.0,0.0,1.29,0.0,0.0,0.0,20231110
441270,파인엠텍,2022-10-07,7950,291623567230,265046,2097337340,36590159,3448.0,0.0,2.31,0.0,0.0,0.0,20231110
106240,파인테크닉스,2009-03-16,1656,26352659335,26226,43257940,15923057,5583.0,0.23,0.3,7096.0,0.0,0.0,20231110
091700,파트론,2006-12-13,8530,501394001140,139534,1185483640,58918214,8739.0,12.19,0.98,700.0,3.52,300.0,20231110
256630,포인트엔지니어링,2017-05-02,1666,96275139520,9147,15232136,57997072,1367.0,119.0,1.22,14.0,0.6,10.0,20231110
053160,프리엠스,2001-10-30,10200,61020000000,51861,526855230,6000000,10692.0,41.3,0.95,247.0,0.49,50.0,20231110
075130,플랜티넷,2005-06-10,2270,37815778000,12392,28156185,16622320,4387.0,0.0,0.52,0.0,4.41,100.0,20231110
237750,피앤씨테크,2016-07-04,5070,33132660000,13659,69537140,6496600,10577.0,11.19,0.48,453.0,0.0,0.0,20231110
291810,핀텔,2022-10-20,4280,48665382480,23294,99506725,11343912,1915.0,0.0,2.23,0.0,0.0,0.0,20231110
446750,하나26호스팩,2023-03-07,2045,12331350000,3545,7236290,6030000,,,,,,,20231110
454750,하나28호스팩,2023-08-10,2000,14389596000,6218,12426646,7202000,,,,,,,20231110
430230,하나금융24호스팩,2022-09-29,2070,16568280000,3747,7753855,8004000,,,,,,,20231110
435620,하나금융25호스팩,2022-10-20,9760,41987520000,0,0,4302000,,,,,,,20231110
003380,하림지주,2017-06-30,6950,773958841110,189603,1310198970,112005621,29169.0,2.54,0.24,2736.0,1.73,120.0,20231110
377400,하이제6호스팩,2021-05-10,1999,10809592500,41180,82155200,5407500,,,,,,,20231110
004590,한국가구,1993-06-03,4000,59625000000,8681,34396905,15000000,11011.0,5.09,0.36,786.0,4.38,175.0,20231110
023760,한국캐피탈,1994-11-07,542,170744780616,79460,43061224,315609576,1461.0,2.71,0.37,200.0,5.17,28.0,20231110
037230,한국팩키지,1999-12-21,1999,59511253019,31777,63214268,29800327,2250.0,0.0,0.89,0.0,1.75,35.0,20231110
030520,한글과컴퓨터,1996-09-24,12800,308775330880,68689,869605970,24179744,13442.0,6.5,0.95,1969.0,0.0,0.0,20231110
045100,한양이엔지,2000-08-31,14700,264060000000,54632,799603220,18000000,27595.0,3.64,0.53,4044.0,4.08,600.0,20231110
123840,한일진공,2010-10-05,500,49887139008,7309924,3651880280,101396624,473.0,0.0,1.06,0.0,0.0,0.0,20231110
430460,한화플러스제3호스팩,2022-09-29,2035,12047200000,439,895370,5920000,,,,,,,20231110
170030,현대공업,2013-12-04,6660,102164400000,54099,359873340,15340000,9031.0,8.84,0.74,753.0,2.49,166.0,20231110
319400,현대무벡스,2019-05-08,3175,374037074320,1226578,3962098760,117437072,1344.0,38.25,2.36,83.0,0.94,30.0,20231110
343090,HLB사이언스,2020-04-24,1704,27778963230,1837,3065239,16321365,,,,,,,20231110
283100,노보믹스,2023-04-19,3495,22944322005,446,1552740,6564899,,,,,,,20231110
229500,노브메타파마,2015-10-28,20500,227354184000,0,0,11090448,,,,,,,20231110
178600,대동고려삼,2013-12-20,2725,12125160000,0,0,4449600,,,,,,,20231110
302920,더콘텐츠온,2018-08-13,15000,68285385000,0,0,4552359,,,,,,,20231110
403360,라피치,2021-12-14,9980,28981920000,2,21880,2904000,,,,,,,20231110
223220,로지스몬,2015-07-09,442,20354619792,307,134847,46051176,,,,,,,20231110
253610,루트락,2020-12-24,1500,17571386395,20,32678,10104305,,,,,,,20231110
322970,무진메디,2020-06-24,2675,26775631850,312,834615,10009582,,,,,,,20231110
206950,볼빅,2015-12-30,2135,30054960775,0,0,14077265,,,,,,,20231110
266170,뿌리깊은나무들,2017-06-09,815,4745774340,12,8635,5823036,,,,,,,20231110
012210,삼미금속,2023-05-16,990,35243886150,1509,1358480,35599885,,,,,,,20231110
286000,씨엔티드림,2020-12-11,3050,14455237100,0,0,4739422,,,,,,,20231110
311960,에이아이더뉴트리진,2022-11-29,10720,32893011360,358,3635730,3062664,,,,,,,20231110
140610,엔솔바이오사이언스,2018-09-10,8510,92036419000,3578,30240850,10827814,,,,,,,20231110
379390,이성씨엔아이,2021-06-04,9390,26681309400,1,9390,2841460,,,,,,,20231110
388610,지에프씨생명과학,2022-12-23,4195,12939804710,0,0,3084578,,,,,,,20231110
233990,질경이,2015-12-29,599,8844173902,39,22979,14764898,,,,,,,20231110
402420,켈스,2021-11-30,15390,34266450600,120,1799320,2226540,,,,,,,20231110
215570,크로넥스,2015-12-28,1199,6088590343,1,1199,5078057,,,,,,,20231110
