종목코드,종목명,섹터,날짜
036640,HRS,화학,20220504
294140,레몬,화학,20220504
002100,경농,화학,20220504
352940,인바이오,화학,20220504
036670,KCI,화학,20220504
092230,KPX홀딩스,화학,20220504
357550,석경에이티,화학,20220504
007590,동방아그로,화학,20220504
045060,오공,화학,20220504
097870,효성오앤비,화학,20220504
134380,미원화학,화학,20220504
014440,영보화학,화학,20220504
001550,조비,화학,20220504
222420,쎄노텍,화학,20220504
050760,에스폴리텍,화학,20220504
286750,나노브릭,화학,20220504
003830,대한화섬,화학,20220504
101240,씨큐브,화학,20220504
196700,웹스,화학,20220504
066430,와이오엠,화학,20220504
187790,나노,화학,20220504
332290,누보,화학,20220504
318000,KBG,화학,20220504
010640,진양폴리,화학,20220504
110020,전진바이오팜,화학,20220504
024070,WISCOM,화학,20220504
008370,원풍,화학,20220504
051630,진양화학,화학,20220504
003080,성보화학,화학,20220504
048830,엔피케이,화학,20220504
007770,한일화학,화학,20220504
115570,스타플렉스,화학,20220504
221980,케이디켐,화학,20220504
000760,이화산업,화학,20220504
010130,고려아연,비철금속,20220504
103140,풍산,비철금속,20220504
014820,동원시스템즈,비철금속,20220504
008350,남선알미늄,비철금속,20220504
078130,국일제지,비철금속,20220504
213500,한솔제지,비철금속,20220504
008730,율촌화학,비철금속,20220504
002310,아세아제지,비철금속,20220504
115390,락앤락,비철금속,20220504
034810,해성산업,비철금속,20220504
016590,신대양제지,비철금속,20220504
081000,일진다이아,비철금속,20220504
001780,알루코,비철금속,20220504
002030,아세아,비철금속,20220504
004560,현대비앤지스틸,비철금속,20220504
005810,풍산홀딩스,비철금속,20220504
006110,삼아알미늄,비철금속,20220504
058430,포스코스틸리온,비철금속,20220504
000180,성창기업지주,비철금속,20220504
069460,대호에이엘,비철금속,20220504
014160,대영포장,비철금속,20220504
024090,디씨엠,비철금속,20220504
115960,연우,비철금속,20220504
009190,대양금속,비철금속,20220504
004540,깨끗한나라,비철금속,20220504
018470,조일알미늄,비철금속,20220504
009580,무림P&P,비철금속,20220504
004150,한솔홀딩스,비철금속,20220504
081150,티플랙스,비철금속,20220504
033310,엠투엔,비철금속,20220504
012800,대창,비철금속,20220504
272550,삼양패키징,비철금속,20220504
011280,태림포장,비철금속,20220504
251970,펌텍코리아,비철금속,20220504
023600,삼보판지,비철금속,20220504
010040,한국내화,비철금속,20220504
032560,황금에스티,비철금속,20220504
015890,태경산업,비철금속,20220504
009460,한창제지,비철금속,20220504
014580,태경비케이,비철금속,20220504
036620,감성코퍼레이션,비철금속,20220504
037370,EG,비철금속,20220504
025820,이구산업,비철금속,20220504
124500,아이티센,비철금속,20220504
000480,조선내화,비철금속,20220504
006740,영풍제지,비철금속,20220504
009200,무림페이퍼,비철금속,20220504
009620,삼보산업,비철금속,20220504
002200,한국수출포장,비철금속,20220504
396300,세아메카닉스,비철금속,20220504
021050,서원,비철금속,20220504
128660,피제이메탈,비철금속,20220504
027970,세하,비철금속,20220504
177830,파버나인,비철금속,20220504
037230,한국팩키지,비철금속,20220504
