종목코드,종목명,산업,섹터,날짜
383310,에코프로에이치엔,소재,소재,20220413
178920,PI첨단소재,소재,소재,20220413
005690,파미셀,소재,소재,20220413
103140,풍산,소재,소재,20220413
014830,유니드,소재,소재,20220413
006650,대한유화,소재,소재,20220413
016380,KG스틸,소재,소재,20220413
069260,TKG휴켐스,소재,소재,20220413
121600,나노신소재,소재,소재,20220413
298000,효성화학,소재,소재,20220413
004430,송원산업,소재,소재,20220413
007690,국도화학,소재,소재,20220413
102710,이엔에프테크놀로지,소재,소재,20220413
014820,동원시스템즈,소재,소재,20220413
008350,남선알미늄,소재,소재,20220413
151860,KG ETS,소재,소재,20220413
025860,남해화학,소재,소재,20220413
005420,코스모화학,소재,소재,20220413
078130,국일제지,소재,소재,20220413
161000,애경케미칼,소재,소재,20220413
005950,이수화학,소재,소재,20220413
089010,켐트로닉스,소재,소재,20220413
104830,원익머트리얼즈,소재,소재,20220413
002840,미원상사,소재,소재,20220413
084010,대한제강,소재,소재,20220413
003240,태광산업,소재,소재,20220413
139990,아주스틸,소재,소재,20220413
213500,한솔제지,소재,소재,20220413
104480,티케이케미칼,소재,소재,20220413
001430,세아베스틸,소재,소재,20220413
003030,세아제강지주,소재,소재,20220413
008730,율촌화학,소재,소재,20220413
268280,미원에스씨,소재,소재,20220413
002310,아세아제지,소재,소재,20220413
104700,한국철강,소재,소재,20220413
055490,테이팩스,소재,소재,20220413
033500,동성화인텍,소재,소재,20220413
004890,동일산업,소재,소재,20220413
101360,이엔드디,소재,소재,20220413
115390,락앤락,소재,소재,20220413
239890,피엔에이치테크,소재,소재,20220413
016590,신대양제지,소재,소재,20220413
220260,켐트로스,소재,소재,20220413
034810,해성산업,소재,소재,20220413
081000,일진다이아,소재,소재,20220413
012610,경인양행,소재,소재,20220413
281740,레이크머티리얼즈,소재,소재,20220413
100130,동국S&C,소재,소재,20220413
251370,와이엠티,소재,소재,20220413
002240,고려제강,소재,소재,20220413
001780,알루코,소재,소재,20220413
009520,포스코엠텍,소재,소재,20220413
306200,세아제강,소재,소재,20220413
002030,아세아,소재,소재,20220413
002810,삼영무역,소재,소재,20220413
006380,카프로,소재,소재,20220413
011500,한농화성,소재,소재,20220413
004560,현대비앤지스틸,소재,소재,20220413
002710,TCC스틸,소재,소재,20220413
115960,연우,소재,소재,20220413
069460,대호에이엘,소재,소재,20220413
017890,한국알콜,소재,소재,20220413
006110,삼아알미늄,소재,소재,20220413
138490,코오롱플라스틱,소재,소재,20220413
005810,풍산홀딩스,소재,소재,20220413
058430,포스코스틸리온,소재,소재,20220413
102260,동성케미컬,소재,소재,20220413
001340,백광산업,소재,소재,20220413
001940,KISCO홀딩스,소재,소재,20220413
008970,동양철관,소재,소재,20220413
024090,디씨엠,소재,소재,20220413
014160,대영포장,소재,소재,20220413
000180,성창기업지주,소재,소재,20220413
009190,대양금속,소재,소재,20220413
042040,케이피엠테크,소재,소재,20220413
000970,한국주철관,소재,소재,20220413
033310,엠투엔,소재,소재,20220413
004150,한솔홀딩스,소재,소재,20220413
290380,대유,소재,소재,20220413
081150,티플랙스,소재,소재,20220413
006840,AK홀딩스,소재,소재,20220413
004540,깨끗한나라,소재,소재,20220413
107590,미원홀딩스,소재,소재,20220413
012800,대창,소재,소재,20220413
001570,금양,소재,소재,20220413
004090,한국석유,소재,소재,20220413
009580,무림P&P,소재,소재,20220413
136410,아셈스,소재,소재,20220413
272550,삼양패키징,소재,소재,20220413
025000,KPX케미칼,소재,소재,20220413
018470,조일알미늄,소재,소재,20220413
025550,한국선재,소재,소재,20220413
251970,펌텍코리아,소재,소재,20220413
005160,동국산업,소재,소재,20220413
036620,감성코퍼레이션,소재,소재,20220413
003720,삼영화학,소재,소재,20220413
247660,나노씨엠에스,소재,소재,20220413
011280,태림포장,소재,소재,20220413
023600,삼보판지,소재,소재,20220413
002360,SH에너지화학,소재,소재,20220413
037370,EG,소재,소재,20220413
083420,그린케미칼,소재,소재,20220413
124500,아이티센,소재,소재,20220413
005010,휴스틸,소재,소재,20220413
023450,동남합성,소재,소재,20220413
025820,이구산업,소재,소재,20220413
