종목코드,R1D,R1W,R1M,R3M,R6M,R1Y,날짜
005490,-1.89,-1.04,0.35,6.52,-3.87,-27.69,20220506
091340,0.0,1.56,-2.43,-2.98,-8.6,-8.6,20220506
010950,3.26,7.25,11.0,20.0,11.78,16.23,20220506
010955,3.97,6.85,12.16,22.2,8.62,20.85,20220506
019550,-0.29,2.37,8.15,17.35,-3.36,-20.87,20220506
034120,-1.93,1.39,5.71,15.68,0.99,76.74,20220506
046140,-0.13,2.24,-2.63,8.82,-13.09,-3.48,20220506
036120,0.0,-2.86,10.39,9.37,0.99,-14.53,20220506
036540,-2.14,-3.47,-4.91,-3.62,-3.91,-14.57,20220506
040610,-2.88,-5.76,0.37,22.17,16.13,-1.1,20220506
005090,-1.19,-1.77,-0.8,-8.78,4.83,10.89,20220506
001380,-2.62,-4.87,-9.73,-4.38,-10.82,-54.31,20220506
004060,-1.24,-3.64,-5.56,3.18,0.99,-5.56,20220506
001770,-0.76,1.56,-4.41,8.33,12.46,3.34,20220506
002360,-2.56,-12.5,26.07,37.4,19.82,-1.48,20220506
009160,0.33,1.12,3.8,41.44,25.66,95.23,20220506
123700,-0.9,0.69,-4.03,1.27,-7.37,-22.81,20220506
025530,-2.2,-0.92,-4.8,11.37,1.34,-13.03,20220506
337450,0.0,0.0,0.0,5.31,2.35,1.63,20220506
340350,-0.68,-2.01,3.06,5.54,4.29,3.55,20220506
011790,-1.3,0.33,-4.1,5.92,-13.39,10.14,20220506
018670,-2.96,10.08,15.93,6.07,-2.24,24.76,20220506
001740,-0.73,-1.65,2.69,2.03,-7.92,-11.5,20220506
001745,-1.66,-1.28,7.07,15.22,-8.31,-41.52,20220506
006120,-2.15,-0.97,2.5,0.0,-15.11,-25.59,20220506
006125,-1.45,-2.71,5.75,10.91,-12.69,-20.07,20220506
068400,-0.88,-0.44,-2.6,11.94,-3.02,-8.91,20220506
326030,-1.66,-3.05,0.79,11.95,-9.18,-16.04,20220506
03473K,-0.9,-1.78,0.0,12.76,-1.78,-15.33,20220506
096770,0.0,-1.22,-3.57,-11.18,-15.45,-28.06,20220506
096775,0.0,-1.92,-1.92,-9.25,-13.85,-33.77,20220506
001510,-0.46,-0.81,-5.19,-3.49,-12.18,-15.88,20220506
001515,-2.06,-2.69,1.88,3.55,-8.11,-32.83,20220506
000660,-1.83,-4.44,-4.87,-13.65,1.42,-16.67,20220506
950180,0.0,0.0,0.68,0.54,94.24,57.54,20220506
064960,-4.02,-2.92,0.54,9.02,-8.19,-23.31,20220506
100840,-0.95,13.66,9.47,17.51,-10.92,11.53,20220506
003570,-4.38,3.97,8.91,10.62,-0.11,6.63,20220506
036530,-1.42,-0.29,2.36,7.76,-4.93,-8.2,20220506
005610,-4.07,-5.67,-10.73,10.26,12.3,17.1,20220506
077970,-2.0,-4.55,15.75,46.27,26.72,-7.55,20220506
071970,0.19,0.19,2.36,14.16,-2.44,-48.26,20220506
002820,-1.24,-2.46,5.3,6.72,0.54,-19.54,20220506
289080,3.32,1.63,-5.65,-11.5,-3.52,-23.29,20220506
084870,1.3,6.86,6.38,20.05,-22.81,16.75,20220506
002710,-3.49,1.63,18.01,25.88,52.01,119.19,20220506
161570,-2.45,-8.22,-11.15,-6.69,-5.42,-21.63,20220506
032540,-2.04,-9.68,-26.4,9.62,28.74,74.32,20220506
022220,-1.62,-1.16,-3.19,11.26,-0.47,-5.76,20220506
069260,1.95,5.13,6.08,7.05,-13.42,7.53,20220506
024070,-0.58,-2.84,1.19,12.15,-9.89,-22.39,20220506
057030,0.7,-2.22,-6.68,-12.92,-9.91,-22.46,20220506
037270,2.23,4.72,0.83,10.24,-5.67,29.33,20220506
040300,0.14,3.1,0.27,8.61,8.28,-6.87,20220506
051390,-1.88,-2.68,-4.13,-0.24,5.82,-7.73,20220506
052220,-2.16,-1.83,-9.85,-4.02,-16.5,11.25,20220506
079940,2.53,1.79,0.35,17.84,11.81,-5.33,20220506
000500,0.56,2.66,1.31,17.14,-3.23,-0.74,20220506
000860,-2.31,-1.55,2.22,0.6,3.89,-16.47,20220506
035250,0.0,-1.87,-5.73,0.38,-1.87,3.95,20220506
094480,-1.03,-2.7,-20.73,-12.99,-27.39,21.35,20220506
011420,-2.8,-5.64,-14.39,-6.22,-28.25,20.86,20220506
267290,-0.93,1.33,17.36,23.33,15.09,5.53,20220506
012320,-0.4,-0.53,1.9,9.3,4.16,-15.12,20220506
011040,-0.98,-1.94,-4.72,-4.27,-22.01,-1.46,20220506
000050,0.32,-1.26,-3.98,8.65,13.77,15.02,20220506
214390,-1.63,-1.52,-9.91,-5.8,-15.08,-35.98,20220506
009140,-0.68,-0.85,-7.0,-10.0,6.75,-2.34,20220506
024910,-2.39,-5.85,-12.23,-24.25,-26.04,-16.77,20220506
013580,-0.83,-3.09,-8.39,14.44,4.34,5.1,20220506
012200,0.0,0.0,0.0,-6.03,-19.62,-19.17,20220506
012205,0.0,0.0,0.0,1.5,-5.84,-21.0,20220506
002140,2.19,-9.42,75.34,95.22,92.64,37.25,20220506
198440,-2.36,-9.46,-4.92,26.6,0.66,25.03,20220506
049720,-1.19,-2.87,4.45,14.09,-5.67,29.24,20220506
010130,-1.77,-3.82,-12.2,2.97,8.63,19.4,20220506
002240,-2.74,-5.17,20.36,30.39,0.38,-5.67,20220506
014570,-1.0,-1.22,-2.52,8.15,-1.98,-19.18,20220506
098460,-5.71,-10.34,-4.41,-14.53,-10.1,-35.38,20220506
035290,-6.27,-15.48,140.61,140.61,140.61,140.61,20220506
215000,3.21,14.43,10.04,15.64,10.56,92.66,20220506
121440,0.11,4.46,3.75,9.34,-0.87,21.57,20220506
183410,-2.23,-6.25,25.41,112.29,130.3,236.28,20220506
076340,-2.71,-4.02,-2.98,-7.96,-25.23,15.65,20220506
009290,-1.39,-2.61,-4.44,2.16,-7.67,-20.31,20220506
017040,5.45,6.38,9.09,25.52,-2.12,6.19,20220506
017900,-0.37,0.37,-7.73,-10.95,-13.11,13.29,20220506
026910,0.18,0.18,1.09,17.67,-2.11,-12.03,20220506
355150,0.67,0.22,4.16,4.64,5.62,4.88,20220506
331520,0.0,0.0,5.99,8.24,7.98,5.02,20220506
030610,-0.52,-2.05,-0.52,-4.01,-12.66,-13.05,20220506
339770,0.0,-1.95,-3.51,2.03,-14.93,-24.69,20220506
053270,2.1,3.05,29.67,30.76,10.04,2.1,20220506
066620,-0.98,-2.18,-6.28,8.04,-17.42,-12.39,20220506
043650,-1.9,-5.94,-6.79,-11.59,20.75,22.62,20220506
006050,-3.23,-10.25,-6.02,10.12,-7.24,-35.08,20220506
060480,1.2,3.12,-1.55,7.95,-0.65,-28.17,20220506
204020,-3.23,-2.48,2.28,21.9,10.74,-0.94,20220506
083420,1.63,2.88,-5.66,0.81,-1.96,-20.63,20220506
014530,0.53,1.71,16.85,17.43,13.23,-15.03,20220506
900070,0.5,1.25,-9.09,-19.0,-25.0,-30.17,20220506
014285,-1.67,-7.26,-5.77,13.08,13.95,-4.23,20220506
053260,-4.95,-5.38,10.94,107.27,87.72,33.71,20220506
008870,-0.29,0.58,-0.58,12.91,-0.29,-13.95,20220506
002990,-0.96,0.0,-5.48,1.97,-11.16,2.48,20220506
002995,-1.1,-1.42,-2.03,3.47,3.12,-14.23,20220506
011785,-1.24,0.31,-0.62,15.88,-10.65,-35.19,20220506
073240,-1.08,-4.29,-1.32,0.49,-25.0,1.98,20220506
036190,-0.93,-0.93,-7.4,4.76,-5.62,-4.2,20220506
035460,0.0,25.12,34.62,66.56,77.59,68.98,20220506
092440,-1.11,1.36,-1.65,-6.0,6.06,-13.3,20220506
000270,0.48,0.12,9.82,3.97,-3.56,4.61,20220506
013700,-0.6,-2.53,-4.02,2.87,0.8,-1.38,20220506
308100,-4.31,1.56,-1.11,2.95,-20.0,-32.22,20220506
004540,1.06,-1.14,5.79,4.86,-1.45,-27.26,20220506
004545,-1.89,-2.51,3.79,4.72,-1.69,-40.56,20220506
121600,-2.67,-2.81,11.24,27.39,41.43,132.94,20220506
091970,0.0,0.0,0.0,0.0,0.0,-26.65,20220506
244880,-0.98,-2.26,-2.1,4.48,32.03,23.67,20220506
051490,-1.05,-3.97,-6.62,-18.65,-5.47,-10.76,20220506
257990,2.54,1.0,26.17,27.37,11.01,-28.74,20220506
138610,-4.23,-10.72,-7.69,-10.53,-31.43,-34.41,20220506
130580,-2.06,-2.36,-4.43,3.71,-4.23,-9.09,20220506
036800,-2.01,-3.31,-1.85,5.03,-11.36,-10.96,20220506
267320,-1.33,-1.17,-10.96,-28.03,-3.42,-34.84,20220506
008350,-4.93,-3.99,-22.83,27.31,0.0,-18.82,20220506
008355,-5.4,-5.26,-46.51,33.55,29.87,-25.7,20220506
004270,-1.42,2.81,0.48,3.15,-3.56,-20.64,20220506
003920,-1.24,-1.85,-1.97,2.44,-9.94,2.84,20220506
003925,-3.13,-3.83,1.01,2.55,-11.26,10.74,20220506
025860,2.47,3.57,22.88,56.25,-5.84,47.66,20220506
111710,-1.23,-2.1,-3.38,6.37,-1.67,-9.04,20220506
091590,-1.17,1.52,-2.0,16.19,2.41,-15.95,20220506
212560,-1.09,-0.36,-6.4,8.05,2.25,0.86,20220506
095660,-2.84,-2.61,-22.74,-22.74,-23.18,-13.66,20220506
042420,-3.69,-5.56,-30.34,-36.08,-23.08,1.11,20220506
092730,-0.97,-2.49,-3.04,6.47,-2.49,-27.56,20220506
153460,-2.11,-0.59,-10.11,-3.91,5.96,9.57,20220506
033640,-2.82,-4.09,3.17,-4.25,-14.58,-25.26,20220506
005720,-0.11,-1.11,1.59,4.94,-9.8,-11.06,20220506
005725,-0.56,-2.33,-0.14,-3.78,-1.25,-2.86,20220506
002350,-0.15,-2.77,6.03,1.67,-12.79,-22.77,20220506
002355,-0.75,-0.75,3.43,2.63,-1.92,-6.75,20220506
251270,-2.84,-7.01,-18.81,-14.11,-28.31,-30.0,20220506
090350,-0.89,-0.89,-5.93,0.45,10.45,-16.85,20220506
090355,0.24,-0.72,-1.66,-5.05,-16.53,-58.6,20220506
000320,-1.25,-1.66,-4.44,0.0,-3.66,-22.8,20220506
000325,5.12,4.56,-4.76,-37.2,-17.72,-68.8,20220506
194700,-1.15,-1.28,-3.5,0.52,3.76,-12.57,20220506
006280,-4.24,-4.24,-4.75,-2.43,-30.98,-50.62,20220506
142280,0.0,1.51,-15.75,-3.44,-15.86,-37.88,20220506
234690,-1.08,-0.97,-3.26,0.44,-18.22,-25.81,20220506
005250,-2.97,-4.06,-8.99,-9.19,-27.72,-42.33,20220506
005257,-1.89,-3.94,-8.99,-11.7,-37.59,-57.65,20220506
004370,0.0,-0.66,-1.63,-11.58,7.3,7.68,20220506
072710,-0.68,-2.13,0.0,-3.42,-5.53,-7.21,20220506
054050,-3.47,-3.47,-1.96,13.64,2.88,-14.09,20220506
069140,1.11,1.25,1.96,11.3,-4.46,-6.3,20220506
040160,0.0,2.51,-4.2,0.0,-6.17,4.72,20220506
012340,0.76,2.46,-1.19,-13.6,-6.84,-4.03,20220506
144960,-0.75,-1.12,-5.71,-12.0,-22.58,-16.32,20220506
119860,-1.48,-5.21,-13.04,-15.07,-28.7,-35.17,20220506
064260,-0.87,-4.98,-18.58,-12.34,13.09,18.96,20220506
030210,-0.96,-1.91,-10.62,-9.57,-26.86,-22.83,20220506
