종목코드,종목명,IPO,종가,시가총액,거래량,거래대금,상장주식수,BPS,PER,PBR,EPS,DIV,DPS,날짜
026150,특수건설,1997-08-06,11350,198273540300,265265,3054218450,17546331,5910.0,0.0,1.92,0.0,0.0,0.0,20220509
246710,티앤알바이오팹,2018-11-28,20250,422076869200,214834,4541420300,20791964,1980.0,0.0,10.23,0.0,0.0,0.0,20220509
043220,티에스넥스젠,2001-07-03,1440,131206142880,517701,754176240,91115377,497.0,0.0,2.9,0.0,0.0,0.0,20220509
104480,티케이케미칼,2011-04-26,4830,439933900560,510706,2491596070,90895434,7347.0,1.23,0.66,3921.0,0.0,0.0,20220509
058530,파나케이아,2002-02-05,1620,29287053360,0,0,18078428,3692.0,0.0,0.44,0.0,0.0,0.0,20220509
033540,파라텍,1997-12-26,2070,103779721170,223116,464719380,50135131,1669.0,103.5,1.24,20.0,0.0,0.0,20220509
065690,파커스,2002-07-16,3200,44957859200,67733,214194025,14049331,6036.0,4.92,0.53,650.0,4.69,150.0,20220509
225590,패션플랫폼,2015-10-05,2030,53806160260,503581,1023763830,26636713,2234.0,3.38,0.91,601.0,0.0,0.0,20220509
256630,포인트엔지니어링,2017-05-02,3150,182618725910,406931,1315119240,57882322,1374.0,44.37,2.29,71.0,0.63,20.0,20220509
005670,푸드웰,1993-12-07,6970,69400000000,69368,487275060,10000000,9012.0,11.44,0.77,609.0,1.29,90.0,20220509
371950,풍원정밀,2022-02-28,19250,410289516000,341381,6775175200,21040488,1589.0,121.07,12.11,159.0,0.0,0.0,20220509
203690,프로스테믹스,2014-09-30,2665,121189453440,76041,200974440,45905096,310.0,0.0,8.6,0.0,0.0,0.0,20220509
377220,프롬바이오,2021-09-28,9030,127819650000,91615,827663490,14155000,5964.0,9.8,1.51,921.0,0.0,0.0,20220509
032580,피델릭스,1997-04-22,1650,54999226240,917678,1532757310,33132064,1226.0,18.75,1.35,88.0,0.0,0.0,20220509
024850,피에스엠씨,2001-01-18,1145,46456801770,71250,81805990,40573626,325.0,0.0,3.52,0.0,0.0,0.0,20220509
319660,피에스케이,2019-05-10,45750,679929171000,193182,8872655450,14765020,19776.0,8.75,2.31,5229.0,1.31,600.0,20220509
031980,피에스케이홀딩스,1997-01-07,12950,278154895500,72383,942197700,21562395,12142.0,5.68,1.07,2278.0,3.09,400.0,20220509
006140,피제이전자,1993-12-07,7590,113550000000,21807,166290890,15000000,7778.0,13.75,0.98,552.0,1.71,130.0,20220509
161580,필옵틱스,2017-06-01,8730,189106320200,32195,277766600,21989107,4481.0,0.0,1.95,0.0,0.0,0.0,20220509
341160,하나금융15호스팩,2020-01-30,2310,10880100000,6321,14561015,4710000,0.0,0.0,0.0,0.0,0.0,0.0,20220509
388220,하나금융19호스팩,2021-10-07,2190,13913550000,11526,25260220,6310000,0.0,0.0,0.0,0.0,0.0,0.0,20220509
