종목코드,종목명,산업,섹터,날짜
039240,경남스틸,소재,소재,20221005
092230,KPX홀딩스,소재,소재,20221005
008260,NI스틸,소재,소재,20221005
025820,이구산업,소재,소재,20221005
247660,나노씨엠에스,소재,소재,20221005
006740,영풍제지,소재,소재,20221005
134380,미원화학,소재,소재,20221005
120030,조선선재,소재,소재,20221005
007590,동방아그로,소재,소재,20221005
019440,세아특수강,소재,소재,20221005
009200,무림페이퍼,소재,소재,20221005
058650,세아홀딩스,소재,소재,20221005
002100,경농,소재,소재,20221005
352940,인바이오,소재,소재,20221005
071090,하이스틸,소재,소재,20221005
101240,씨큐브,소재,소재,20221005
045060,오공,소재,소재,20221005
009620,삼보산업,소재,소재,20221005
002220,한일철강,소재,소재,20221005
222420,쎄노텍,소재,소재,20221005
177830,파버나인,소재,소재,20221005
021050,서원,소재,소재,20221005
014440,영보화학,소재,소재,20221005
027970,세하,소재,소재,20221005
133820,화인베스틸,소재,소재,20221005
003830,대한화섬,소재,소재,20221005
004780,대륙제관,소재,소재,20221005
017480,삼현철강,소재,소재,20221005
097870,효성오앤비,소재,소재,20221005
026940,부국철강,소재,소재,20221005
318000,KBG,소재,소재,20221005
048470,대동스틸,소재,소재,20221005
128660,피제이메탈,소재,소재,20221005
010640,진양폴리,소재,소재,20221005
075970,동국알앤에스,소재,소재,20221005
079170,한창산업,소재,소재,20221005
069730,DSR제강,소재,소재,20221005
187790,나노,소재,소재,20221005
050760,에스폴리텍,소재,소재,20221005
017650,대림제지,소재,소재,20221005
004450,삼화왕관,소재,소재,20221005
001550,조비,소재,소재,20221005
037760,쎄니트,소재,소재,20221005
037230,한국팩키지,소재,소재,20221005
021040,대호특수강,소재,소재,20221005
007770,한일화학,소재,소재,20221005
051630,진양화학,소재,소재,20221005
002820,SUN&L,소재,소재,20221005
286750,나노브릭,소재,소재,20221005
012160,영흥,소재,소재,20221005
012620,원일특강,소재,소재,20221005
024070,WISCOM,소재,소재,20221005
340440,세림B&G,소재,소재,20221005
110020,전진바이오팜,소재,소재,20221005
196700,웹스,소재,소재,20221005
001770,SHD,소재,소재,20221005
155660,DSR,소재,소재,20221005
058450,일야,소재,소재,20221005
008370,원풍,소재,소재,20221005
332290,누보,소재,소재,20221005
001810,무림SP,소재,소재,20221005
001020,페이퍼코리아,소재,소재,20221005
002870,신풍제지,소재,소재,20221005
001560,제일연마,소재,소재,20221005
002690,동일제강,소재,소재,20221005
060380,동양에스텍,소재,소재,20221005
060480,국일신동,소재,소재,20221005
010420,한솔PNS,소재,소재,20221005
115570,스타플렉스,소재,소재,20221005
140520,대창스틸,소재,소재,20221005
048830,엔피케이,소재,소재,20221005
026910,광진실업,소재,소재,20221005
003080,성보화학,소재,소재,20221005
049830,승일,소재,소재,20221005
