종목코드,R1D,R1W,R1M,R3M,R6M,R1Y
003670,0.97,-9.17,-6.73,-30.67,-33.12,-33.55
307950,2.5,13.89,-1.6,5.13,5.13,-3.53
214150,0.52,2.93,24.92,0.26,-20.9,37.86
001820,2.95,-1.58,-9.25,2.19,-10.99,-20.26
246710,0.79,4.81,-4.75,-32.21,-47.08,106.5
290650,1.38,2.63,4.08,-5.29,-7.14,5.07
110790,0.75,-2.42,-11.82,-9.64,-1.47,58.35
214450,3.05,1.86,14.17,11.28,-9.39,48.06
006490,-1.07,2.39,-2.45,-16.49,-34.55,-2.79
033290,2.59,-4.57,-11.43,-3.09,-11.11,29.43
008730,1.29,-1.47,-7.11,-1.47,14.36,-0.21
030000,2.49,0.22,0.22,1.57,-2.16,14.14
034810,2.98,-3.2,-14.18,-13.26,-21.57,4.79
095700,5.34,0.96,-2.57,-21.74,-36.53,-53.76
005610,5.47,-5.88,6.52,19.92,4.17,17.92
064260,0.97,3.48,0.0,-37.91,65.08,36.3
055550,1.92,-2.88,-6.55,0.13,-4.5,10.25
015750,2.01,-4.49,-10.82,-16.36,-26.45,-32.32
101160,0.66,-2.95,-16.64,-22.78,-2.74,4.06
098460,2.32,-4.85,-12.19,-18.48,-21.73,-22.66
215200,6.5,8.16,6.88,21.92,18.4,69.04
064550,4.33,8.5,16.04,12.14,-42.52,158.33
181710,4.6,-3.19,-4.96,-22.38,-1.16,-0.46
006390,2.82,3.85,2.14,-2.97,-12.18,-19.58
006730,3.27,1.78,1.22,2.92,5.36,16.54
002790,2.39,-2.99,11.61,6.08,-18.51,-27.43
003580,-1.29,-11.05,-16.62,-28.67,-47.24,278.71
104830,2.7,-5.26,-2.14,2.39,-4.06,-3.52
032300,0.54,6.57,0.67,-23.72,-51.81,-25.84
030200,-0.31,0.79,-0.16,4.43,-2.9,20.42
206650,3.54,0.61,-24.7,-39.24,-38.26,27.11
024720,5.73,-1.22,9.73,5.18,-17.14,-27.37
041140,6.76,24.46,18.96,47.27,100.0,50.66
003230,1.22,-6.43,-8.59,-4.93,-0.36,-7.16
051370,-0.84,-8.55,4.75,40.08,24.73,41.77
145720,-3.55,13.5,24.3,11.89,-18.94,16.31
036460,-4.45,-0.12,14.34,11.16,15.61,23.27
